Ticker,num_trades,avg_gain,total_gain
APA,1,0.23324638436846468,0.23324638436846468
APTV,1,0.06582151159597327,0.06582151159597327
AXON,1,0.09693682296090755,0.09693682296090755
BIIB,1,0.14218639584155413,0.14218639584155413
CAH,1,0.1204899803075361,0.1204899803075361
CBRE,1,0.12324483719536383,0.12324483719536383
CLX,1,0.24438991687530387,0.24438991687530387
CRWD,1,0.29359582019605823,0.29359582019605823
CTRA,1,0.20927424114638238,0.20927424114638238
DLR,1,0.4265232933182461,0.4265232933182461
DVN,1,0.3479025694072073,0.3479025694072073
GDDY,1,0.1233351539925105,0.1233351539925105
GNRC,2,0.09669331677548254,0.20241852706952512
HWM,1,0.166811845475209,0.166811845475209
MGM,1,0.3891745674178706,0.3891745674178706
MRNA,1,0.24737124752505957,0.24737124752505957
NCLH,1,0.24700315217776736,0.24700315217776736
NEE,1,0.03808355333424829,0.03808355333424829
QCOM,1,0.20346334511286823,0.20346334511286823
SPG,1,0.10565857322769046,0.10565857322769046
TTD,1,0.44355712163788974,0.44355712163788974
ALL,22,0.2078458880899806,51.68157241676925
