Ticker,buy_date,buy_price,sell_date,sell_price,pct_gain,days_held,buy_cause,sell_cause,buy_date_dt,sell_date_dt
BIIB,2020-01-03,290.8500061035156,2020-02-05,332.8699951171875,0.14218639584155413,33,BB_lower_cross (z=-1.99),BB_upper_cross,2020-01-03,2020-02-05
MRNA,2020-02-12,19.01000022888184,2020-02-25,23.76000022888184,0.24737124752505957,13,BB_lower_cross (z=-1.85),BB_upper_cross,2020-02-12,2020-02-25
CTRA,2020-02-27,10.441807746887209,2020-03-06,12.652288436889648,0.20927424114638238,8,BB_lower_cross (z=-2.54),BB_upper_cross,2020-02-27,2020-03-06
CLX,2020-03-12,136.2010955810547,2020-03-17,169.8265838623047,0.24438991687530387,5,BB_lower_cross (z=-1.89),BB_upper_cross,2020-03-12,2020-03-17
DLR,2020-03-23,89.87361145019531,2020-04-27,128.46347045898438,0.4265232933182461,35,BB_lower_cross (z=-2.60),BB_upper_cross,2020-03-23,2020-04-27
CAH,2020-05-01,41.06279373168945,2020-05-11,46.1025619506836,0.1204899803075361,10,BB_lower_cross (z=-1.62),BB_upper_cross,2020-05-01,2020-05-11
MGM,2020-05-13,12.667576789855955,2020-05-26,17.632705688476562,0.3891745674178706,13,BB_lower_cross (z=-1.53),BB_upper_cross,2020-05-13,2020-05-26
DVN,2020-05-29,8.045510292053223,2020-06-05,10.8662748336792,0.3479025694072073,7,BB_lower_cross (z=-1.97),BB_upper_cross,2020-05-29,2020-06-05
GNRC,2020-06-12,105.44000244140624,2020-06-26,117.75,0.11451756964856918,14,BB_lower_cross (z=-1.67),BB_upper_cross,2020-06-12,2020-06-26
APA,2020-07-09,10.651067733764648,2020-07-21,13.161687850952148,0.23324638436846468,12,BB_lower_cross (z=-2.31),BB_upper_cross,2020-07-09,2020-07-21
QCOM,2020-07-24,79.90370178222656,2020-07-30,96.35369110107422,0.20346334511286823,6,BB_lower_cross (z=-1.64),BB_upper_cross,2020-07-24,2020-07-30
HWM,2020-07-31,14.598679542541504,2020-08-06,17.06801414489746,0.166811845475209,6,BB_lower_cross (z=-1.51),BB_upper_cross,2020-07-31,2020-08-06
CRWD,2020-08-10,97.0,2020-08-31,125.7300033569336,0.29359582019605823,21,BB_lower_cross (z=-1.68),BB_upper_cross,2020-08-10,2020-08-31
NEE,2020-09-01,61.56565856933594,2020-09-02,64.03824615478516,0.03808355333424829,1,BB_lower_cross (z=-1.53),BB_upper_cross,2020-09-01,2020-09-02
SPG,2020-09-11,48.6837043762207,2020-09-15,53.93531799316406,0.10565857322769046,4,BB_lower_cross (z=-1.60),BB_upper_cross,2020-09-11,2020-09-15
APTV,2020-09-17,83.29000091552734,2020-09-18,88.94999694824219,0.06582151159597327,1,BB_lower_cross (z=-1.59),BB_upper_cross,2020-09-17,2020-09-18
NCLH,2020-09-21,14.989999771118164,2020-10-09,18.729999542236328,0.24700315217776736,18,BB_lower_cross (z=-2.52),BB_upper_cross,2020-09-21,2020-10-09
CBRE,2020-10-26,45.58000183105469,2020-10-29,51.29999923706055,0.12324483719536383,3,BB_lower_cross (z=-1.90),BB_upper_cross,2020-10-26,2020-10-29
TTD,2020-10-30,56.64500045776367,2020-11-06,81.93399810791016,0.44355712163788974,7,BB_lower_cross (z=-2.01),BB_upper_cross,2020-10-30,2020-11-06
GDDY,2020-11-09,70.62999725341797,2020-11-27,79.5,0.1233351539925105,18,BB_lower_cross (z=-1.56),BB_upper_cross,2020-11-09,2020-11-27
GNRC,2020-12-03,207.5800018310547,2020-12-15,224.3999938964844,0.0788690639023959,12,BB_lower_cross (z=-1.55),BB_upper_cross,2020-12-03,2020-12-15
AXON,2020-12-16,119.94000244140624,2020-12-23,131.8300018310547,0.09693682296090755,7,BB_lower_cross (z=-2.02),BB_upper_cross,2020-12-16,2020-12-23
