Ticker,Buy Date,Buy Price,% Below MA50,Sell Date,Sell Price,% Gain,Holding Days,Cumulative Equity %,Avg Return % (all trades),Year Total Cumulative Return %
CI,2018-03-14,154.387723,16.718602,2018-05-17,165.186455,6.994553,64,6.994553,8.124322,25.066672
CPB,2018-05-18,27.035679,17.620732,2018-11-20,32.398763,19.837059,186,28.219126,8.124322,25.066672
PCG,2018-11-21,24.160609,44.317911,2018-12-31,23.566585,-2.458645,40,25.066672,8.124322,25.066672
