Ticker,Buy Date,Buy Price,% Below MA50,Sell Date,Sell Price,% Gain,Holding Days,Cumulative Equity %,Avg Return % (all trades),Year Total Cumulative Return %
NCLH,2020-03-13,11.1111,76.45911,2020-05-26,16.013971,44.125875,74,44.125875,24.89731,195.886105
PFE,2020-06-11,24.718643,8.438603,2020-07-22,28.565953,15.564406,41,66.558212,24.89731,195.886105
FE,2020-07-23,22.151591,31.486298,2020-10-05,24.462145,10.430646,74,83.93131,24.89731,195.886105
APA,2020-10-06,8.329336,29.932592,2020-11-23,11.377925,36.600623,48,151.251314,24.89731,195.886105
DXCM,2020-11-24,78.408332,15.508361,2020-12-31,92.33757,17.764998,37,195.886105,24.89731,195.886105
