Ticker,num_trades,avg_gain,total_gain
AVGO,1,0.2639572926330198,0.2639572926330198
AXON,1,0.21799763620234835,0.21799763620234835
BA,1,0.09666844557887111,0.09666844557887111
BAX,1,0.08562742737255036,0.08562742737255036
BXP,1,0.08469811897760637,0.08469811897760637
COR,1,0.04168321043904766,0.04168321043904766
DDOG,1,0.07197936117631087,0.07197936117631087
DRI,1,0.14513984851029393,0.14513984851029393
DVA,1,0.08418106030662242,0.08418106030662242
EFX,1,0.04009085630289588,0.04009085630289588
GDDY,2,0.07201850587785397,0.14403701175570793
GE,1,0.0957254342692806,0.0957254342692806
HWM,1,0.145274356872942,0.145274356872942
JKHY,1,0.05321196356537761,0.05321196356537761
MCHP,1,0.060594015652800426,0.060594015652800426
NOW,1,0.13171160332378773,0.13171160332378773
NTAP,1,0.22622313403636096,0.22622313403636096
PARA,1,0.31736277829699633,0.31736277829699633
PFE,1,0.06315040550182305,0.06315040550182305
PLTR,1,0.3164236811999679,0.3164236811999679
PODD,1,0.11911087778757246,0.11911087778757246
TPL,1,0.24011683633755387,0.24011683633755387
TSLA,2,0.1502733071732637,0.3005466143465274
TTD,1,0.1269841267438201,0.1269841267438201
TYL,1,0.04471231493444794,0.04471231493444794
WBA,1,0.2635700454117609,0.2635700454117609
WSM,1,0.15213607615096847,0.15213607615096847
ALL,29,0.13743047113467205,3.9329145336872626
