Ticker,buy_date,buy_price,sell_date,sell_price,pct_gain,days_held,buy_cause,sell_cause,buy_date_dt,sell_date_dt
PANW,2024-01-03,143.23500061035156,2024-01-10,158.0449981689453,0.10119191032021058,7,BB_lower_cross (z=-1.71),BB_upper_cross,2024-01-03,2024-01-10
DAL,2024-01-03,37.988407135009766,2024-01-09,41.49895095825195,0.09022828528005733,6,BB_lower_cross (z=-1.63),BB_upper_cross,2024-01-03,2024-01-09
CCL,2024-01-03,16.350000381469727,2024-03-08,16.3700008392334,-0.0007771765335743419,65,BB_lower_cross (z=-2.32),BB_upper_cross,2024-01-03,2024-03-08
TYL,2024-01-04,401.3900146484375,2024-01-11,425.2699890136719,0.05737632536192061,7,BB_lower_cross (z=-1.60),BB_upper_cross,2024-01-04,2024-01-11
CMG,2024-01-04,44.409400939941406,2024-01-19,46.69200134277344,0.04929833874181844,15,BB_lower_cross (z=-1.55),BB_upper_cross,2024-01-04,2024-01-19
PYPL,2024-01-04,58.45000076293945,2024-01-19,65.81999969482422,0.1238407244910702,15,BB_lower_cross (z=-1.50),BB_upper_cross,2024-01-04,2024-01-19
TTD,2024-01-04,68.4000015258789,2024-02-12,73.91000366210938,0.07839663277218545,39,BB_lower_cross (z=-1.54),BB_upper_cross,2024-01-04,2024-02-12
AMZN,2024-01-04,144.57000732421875,2024-01-26,159.1199951171875,0.09844411014578669,22,BB_lower_cross (z=-1.65),BB_upper_cross,2024-01-04,2024-01-26
WDAY,2024-01-04,267.0799865722656,2024-01-11,278.9700012207031,0.04243160325885964,7,BB_lower_cross (z=-1.73),BB_upper_cross,2024-01-04,2024-01-11
NXPI,2024-01-04,202.34815979003903,2024-02-06,217.19119262695312,0.07120936713755244,33,BB_lower_cross (z=-1.76),BB_upper_cross,2024-01-04,2024-02-06
EQIX,2024-01-04,770.873046875,2024-01-12,790.40478515625,0.02328854020004223,8,BB_lower_cross (z=-1.66),BB_upper_cross,2024-01-04,2024-01-12
VRSN,2024-01-04,197.9402313232422,2024-05-31,173.845947265625,-0.12347984259796352,148,BB_lower_cross (z=-1.69),BB_upper_cross,2024-01-04,2024-05-31
MSFT,2024-01-04,363.8102722167969,2024-01-10,378.4737854003906,0.03822685302267925,6,BB_lower_cross (z=-1.60),BB_upper_cross,2024-01-04,2024-01-10
DLR,2024-01-04,125.8310775756836,2024-01-10,130.3666534423828,0.03397493778972982,6,BB_lower_cross (z=-1.71),BB_upper_cross,2024-01-04,2024-01-10
TEL,2024-01-04,129.10748291015625,2024-01-24,139.9947967529297,0.08216103141390252,20,BB_lower_cross (z=-1.59),BB_upper_cross,2024-01-04,2024-01-24
FAST,2024-01-04,29.43075561523437,2024-01-18,32.14714813232422,0.09011533667584648,14,BB_lower_cross (z=-1.50),BB_upper_cross,2024-01-04,2024-01-18
ORLY,2024-01-05,61.69333267211914,2024-01-16,66.01667022705078,0.06793985564360305,11,BB_lower_cross (z=-2.00),BB_upper_cross,2024-01-05,2024-01-16
ON,2024-01-05,75.69999694824219,2024-02-05,77.58999633789062,0.022919081795031104,31,BB_lower_cross (z=-1.62),BB_upper_cross,2024-01-05,2024-02-05
BF-B,2024-01-05,53.29454803466797,2024-02-01,55.17131423950195,0.033146613938858094,27,BB_lower_cross (z=-1.56),BB_upper_cross,2024-01-05,2024-02-01
GRMN,2024-01-05,119.78023529052734,2024-02-21,130.2421417236328,0.08516999777946155,47,BB_lower_cross (z=-1.70),BB_upper_cross,2024-01-05,2024-02-21
FICO,2024-01-05,1115.4599609375,2024-01-10,1200.22998046875,0.07384573226902846,5,BB_lower_cross (z=-1.57),BB_upper_cross,2024-01-05,2024-01-10
IBM,2024-01-05,151.5818328857422,2024-01-12,157.90567016601562,0.039637609081523806,7,BB_lower_cross (z=-1.92),BB_upper_cross,2024-01-05,2024-01-12
AKAM,2024-01-05,114.33000183105467,2024-01-22,121.88999938964844,0.06399423580075103,17,BB_lower_cross (z=-1.51),BB_upper_cross,2024-01-05,2024-01-22
MCO,2024-01-05,367.3481140136719,2024-01-30,391.878173828125,0.06464463960549272,25,BB_lower_cross (z=-1.70),BB_upper_cross,2024-01-05,2024-01-30
TRGP,2024-01-08,81.2341079711914,2024-01-30,84.31221008300781,0.035818035309090446,22,BB_lower_cross (z=-1.96),BB_upper_cross,2024-01-08,2024-01-30
TPL,2024-01-08,500.7107849121094,2024-02-21,496.0222473144531,-0.011343057129957423,44,BB_lower_cross (z=-1.62),BB_upper_cross,2024-01-08,2024-02-21
APA,2024-01-08,31.31893920898437,2024-03-13,30.48094940185547,-0.028701189364579105,65,BB_lower_cross (z=-1.73),BB_upper_cross,2024-01-08,2024-03-13
BA,2024-01-08,229.0,2024-05-03,179.7899932861328,-0.21645950864486307,116,BB_lower_cross (z=-2.74),BB_upper_cross,2024-01-08,2024-05-03
CHTR,2024-01-09,368.6099853515625,2024-02-01,382.3399963378906,0.035175647500060414,23,BB_lower_cross (z=-1.78),BB_upper_cross,2024-01-09,2024-02-01
