Ticker,Buy Date,Buy Price,% Below MA50,Sell Date,Sell Price,% Gain,Holding Days,Cumulative Equity %,Avg Return % (all trades),Year Total Cumulative Return %
VTRS,2022-03-15,8.603063,27.011432,2022-05-17,9.887548,14.930563,63,14.930563,7.601727,30.720657
COIN,2022-05-18,63.093029,56.136689,2022-07-20,75.194727,19.180721,63,36.975073,7.601727,30.720657
BKR,2022-07-21,23.14057,21.734372,2022-10-21,24.902424,7.6137,92,47.403944,7.601727,30.720657
GNRC,2022-10-24,113.393279,42.22177,2022-12-30,100.559344,-11.318074,67,30.720657,7.601727,30.720657
