Ticker,Buy Date,Buy Price,% Below MA50,Sell Date,Sell Price,% Gain,Holding Days,Cumulative Equity %,Avg Return % (all trades),Year Total Cumulative Return %
KHC,2019-03-14,23.700618,24.307809,2019-08-01,24.484587,3.307801,140,3.307801,21.72661,129.461602
ALGN,2019-08-02,199.579385,27.839773,2019-10-10,193.975828,-2.807683,69,0.407245,21.72661,129.461602
HPQ,2019-10-11,13.399582,11.676214,2019-11-06,16.1149,20.264196,26,20.753966,21.72661,129.461602
PCG,2019-11-07,5.985468,34.332532,2019-12-09,11.09366,85.343242,32,123.809316,21.72661,129.461602
DLTR,2019-12-10,91.641553,15.510919,2019-12-31,93.955953,2.525492,21,129.461602,21.72661,129.461602
