Ticker,Buy Date,Buy Price,% Below MA50,Sell Date,Sell Price,% Gain,Holding Days,Cumulative Equity %,Avg Return % (all trades),Year Total Cumulative Return %
TTD,2025-03-17,56.5565,41.864174,2025-05-09,70.968961,25.483297,53,25.483297,-5.283991,-19.755036
UNH,2025-05-12,376.456341,21.472294,2025-08-04,240.739016,-36.051279,84,-19.755036,-5.283991,-19.755036
