Ticker,Buy Date,Buy Price,% Below MA50,Sell Date,Sell Price,% Gain,Holding Days,Cumulative Equity %,Avg Return % (all trades),Year Total Cumulative Return %
KEY,2023-03-15,10.289546,34.261734,2023-07-13,9.464591,-8.017408,120,-8.017408,1.056816,1.355887
PGR,2023-07-14,113.805632,10.542452,2023-08-16,132.396143,16.335317,33,7.00824,1.056816,1.355887
PODD,2023-08-17,208.498283,23.740116,2023-11-20,181.078735,-13.150971,95,-7.064383,1.056816,1.355887
TTD,2023-11-21,65.915848,12.99672,2023-12-29,71.888039,9.060326,38,1.355887,1.056816,1.355887
